"event","indiv","selec","start","end","group","type","group.size","experiment","time","year.audio","flight.time"
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42311,40.9523,41.0033,"4","Regular",4,"Regular",40.9778,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42276,41.3703,41.4213,"4","Regular",4,"Regular",41.3958,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42312,42.6423,42.6933,"4","Regular",4,"Regular",42.6678,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42302,44.9176,44.9685999999999,"4","Regular",4,"Regular",44.9431,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42264,48.1863,48.2372999999999,"4","Regular",4,"Regular",48.2118,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42273,51.847,51.898,"4","Regular",4,"Regular",51.8725,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42292,52.3077,52.3587,"4","Regular",4,"Regular",52.3332,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42265,52.487,52.5379999999999,"4","Regular",4,"Regular",52.5124999999999,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42298,55.685,55.736,"4","Regular",4,"Regular",55.7105,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42280,56.7817,56.8327,"4","Regular",4,"Regular",56.8072,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42314,56.9964,57.0473999999999,"4","Regular",4,"Regular",57.0218999999999,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42286,57.3797,57.4306999999999,"4","Regular",4,"Regular",57.4052,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42303,58.5764,58.6273999999999,"4","Regular",4,"Regular",58.6019,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42295,64.4604,64.5114000000001,"4","Regular",4,"Regular",64.4859,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42285,64.7911,64.8420999999999,"4","Regular",4,"Regular",64.8166,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42297,69.7844,69.8354,"4","Regular",4,"Regular",69.8099,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42289,73.5678,73.6188,"4","Regular",4,"Regular",73.5933,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42307,73.8691,73.9201,"4","Regular",4,"Regular",73.8946,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42299,74.2032,74.2541999999999,"4","Regular",4,"Regular",74.2286999999999,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",101,74.2111,74.2620999999999,"4","Regular",4,"Regular",74.2366,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42301,75.7512,75.8022,"4","Regular",4,"Regular",75.7767,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42309,76.6872,76.7381999999999,"4","Regular",4,"Regular",76.7127,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42277,77.3965,77.4474999999999,"4","Regular",4,"Regular",77.422,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42269,78.2472,78.2982000000001,"4","Regular",4,"Regular",78.2727,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42313,79.1845,79.2354999999999,"4","Regular",4,"Regular",79.21,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42282,79.5085,79.5595,"4","Regular",4,"Regular",79.534,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42296,84.0919,84.1428999999999,"4","Regular",4,"Regular",84.1173999999999,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42308,88.6259,88.6769,"4","Regular",4,"Regular",88.6514,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42279,91.9593,92.0102999999999,"4","Regular",4,"Regular",91.9848,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42300,97.928,97.9789999999999,"4","Regular",4,"Regular",97.9534999999999,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42310,101.5613,101.6123,"4","Regular",4,"Regular",101.5868,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42304,101.7567,101.8077,"4","Regular",4,"Regular",101.7822,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42281,103.4107,103.4617,"4","Regular",4,"Regular",103.4362,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42293,104.6327,104.6837,"4","Regular",4,"Regular",104.6582,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42275,105.7314,105.7824,"4","Regular",4,"Regular",105.7569,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42266,107.85,107.901,"4","Regular",4,"Regular",107.8755,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42271,109.5034,109.5544,"4","Regular",4,"Regular",109.5289,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42291,113.3681,113.4191,"4","Regular",4,"Regular",113.3936,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42283,114.1407,114.1917,"4","Regular",4,"Regular",114.1662,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42288,114.6481,114.6991,"4","Regular",4,"Regular",114.6736,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42278,116.3554,116.4064,"4","Regular",4,"Regular",116.3809,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126051278475",42290,118.6694,118.7204,"4","Regular",4,"Regular",118.6949,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42274,118.9261,118.9771,"4","Regular",4,"Regular",118.9516,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42287,119.8254,119.8764,"4","Regular",4,"Regular",119.8509,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42270,122.9955,123.0465,"4","Regular",4,"Regular",123.021,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","900200000279820",42284,123.7468,123.7978,"4","Regular",4,"Regular",123.7723,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42267,124.7095,124.7605,"4","Regular",4,"Regular",124.735,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42305,126.2101,126.2611,"4","Regular",4,"Regular",126.2356,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42306,129.0302,129.0812,"4","Regular",4,"Regular",129.0557,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42294,129.1595,129.2105,"4","Regular",4,"Regular",129.185,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982000359237334",42272,129.6822,129.7332,"4","Regular",4,"Regular",129.7077,"2020-119",119.999990400001
"ch1MPI2020-01-24_10-18-47_0000119.wav","982126058484339",42268,131.9775,132.0285,"4","Regular",4,"Regular",132.003,"2020-119",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46891,15.1234,15.1744000000002,"15","Regular",3,"Regular",15.1489000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46877,29.1669,29.2179000000002,"15","Regular",3,"Regular",29.1924000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46870,38.8549,38.9058999999999,"15","Regular",3,"Regular",38.8804,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46868,44.0743,44.1252999999999,"15","Regular",3,"Regular",44.0998,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46875,48.509,48.5600000000002,"15","Regular",3,"Regular",48.5345000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46879,54.289,54.3399999999999,"15","Regular",3,"Regular",54.3145,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46876,56.9484,56.9994000000002,"15","Regular",3,"Regular",56.9739000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46866,57.195,57.2460000000002,"15","Regular",3,"Regular",57.2205000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46890,60.6731,60.7241000000002,"15","Regular",3,"Regular",60.6986000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46878,62.0997,62.1506999999999,"15","Regular",3,"Regular",62.1251999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46865,64.9251,64.9760999999999,"15","Regular",3,"Regular",64.9506,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46861,66.1518,66.2027999999999,"15","Regular",3,"Regular",66.1772999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46864,69.1304,69.1813999999999,"15","Regular",3,"Regular",69.1558999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46887,73.2591,73.3100999999999,"15","Regular",3,"Regular",73.2846,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46873,73.4351,73.4861000000002,"15","Regular",3,"Regular",73.4606000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46903,73.6225,73.6734999999999,"15","Regular",3,"Regular",73.648,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46874,77.4065,77.4575000000002,"15","Regular",3,"Regular",77.4320000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",2240,81.3852,81.4361999999999,"15","Regular",3,"Regular",81.4106999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46896,81.3919,81.4428999999999,"15","Regular",3,"Regular",81.4174,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46886,82.2752,82.3262000000002,"15","Regular",3,"Regular",82.3007000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46901,83.1912,83.2421999999999,"15","Regular",3,"Regular",83.2166999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46888,86.4019,86.4528999999999,"15","Regular",3,"Regular",86.4273999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46883,89.0752,89.1261999999999,"15","Regular",3,"Regular",89.1006999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46862,89.8372,89.8882000000002,"15","Regular",3,"Regular",89.8627000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46892,94.0319,94.0829000000002,"15","Regular",3,"Regular",94.0574000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46882,95.1466,95.1975999999999,"15","Regular",3,"Regular",95.1720999999999,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46893,95.7106,95.7616000000002,"15","Regular",3,"Regular",95.7361000000001,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46885,99.1633,99.2142999999999,"15","Regular",3,"Regular",99.1888,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46894,102.0347,102.0857,"15","Regular",3,"Regular",102.0602,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46872,105.7567,105.8077,"15","Regular",3,"Regular",105.7822,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46895,107.05,107.101,"15","Regular",3,"Regular",107.0755,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206710",46863,107.9714,108.0224,"15","Regular",3,"Regular",107.9969,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46869,110.0654,110.1164,"15","Regular",3,"Regular",110.0909,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","900200000206443",46881,111.6434,111.6944,"15","Regular",3,"Regular",111.6689,"2020-98",119.999990400001
"ch1MPI2020-01-23_09-36-48_0000098.wav","982126058484259",46871,115.8207,115.8717,"15","Regular",3,"Regular",115.8462,"2020-98",119.999990400001
